序号	汉字	拼音	音调	拼音码
1	吖	ā	1	a
2	阿	ā	1	a
3	阿	ē	1	e
4	啊	ā	1	a
5	锕	ā	1	a
6	錒	ā	1	a
7	嗄	á	2	a
8	哎	āi	1	ai
9	哀	āi	1	ai
10	唉	āi	1	ai
11	唉	ài	4	ai
12	埃	āi	1	ai
13	挨	āi	1	ai
14	挨	ái	2	ai
15	溾	āi	1	ai
16	锿	āi	1	ai
17	鎄	āi	1	ai
18	啀	ái	2	ai
19	捱	ái	2	ai
20	皑	ái	2	ai
21	凒	ái	2	ai
22	嵦	ái	2	ai
23	溰	ái	2	ai
24	嘊	ái	2	ai
25	敱	ái	2	ai
26	敳	ái	2	ai
27	皚	ái	2	ai
28	癌	ái	2	ai
29	娾	ái	2	ai
30	隑	ái	2	ai
31	剴	ái	2	ai
32	騃	ái	2	ai
33	毐	ǎi	3	ai
34	昹	ǎi	3	ai
35	矮	ǎi	3	ai
36	蔼	ǎi	3	ai
37	躷	ǎi	3	ai
38	濭	ǎi	3	ai
39	藹	ǎi	3	ai
40	譪	ǎi	3	ai
41	霭	ǎi	3	ai
42	靄	ǎi	3	ai
43	鯦	ǎi	3	ai
44	噯	ài	4	ai
45	艾	ài	4	ai
46	艾	yì	4	yi
47	伌	ài	4	ai
48	爱	ài	4	ai
49	砹	ài	4	ai
50	硋	ài	4	ai
51	隘	ài	4	ai
52	嗌	ài	4	ai
53	塧	ài	4	ai
54	嫒	ài	4	ai
55	愛	ài	4	ai
56	碍	ài	4	ai
57	叆	ài	4	ai
58	暧	ài	4	ai
59	瑷	ài	4	ai
60	僾	ài	4	ai
61	壒	ài	4	ai
62	嬡	ài	4	ai
63	懓	ài	4	ai
64	薆	ài	4	ai
65	懝	ài	4	ai
66	曖	ài	4	ai
67	賹	ài	4	ai
68	餲	ài	4	ai
69	鴱	ài	4	ai
70	皧	ài	4	ai
71	瞹	ài	4	ai
72	馤	ài	4	ai
73	礙	ài	4	ai
74	譺	ài	4	ai
75	鑀	ài	4	ai
76	鱫	ài	4	ai
77	靉	ài	4	ai
78	閡	ài	4	ai
79	欬	ài	4	ai
80	焥	ài	4	ai
81	堨	ài	4	ai
82	乂	ài	4	ai
83	嗳	ài	4	ai
84	璦	ài	4	ai
85	安	ān	1	an
86	侒	ān	1	an
87	峖	ān	1	an
88	桉	ān	1	an
89	氨	ān	1	an
90	庵	ān	1	an
91	谙	ān	1	an
92	媕	ān	1	an
93	萻	ān	1	an
94	葊	ān	1	an
95	痷	ān	1	an
96	腤	ān	1	an
97	鹌	ān	1	an
98	蓭	ān	1	an
99	誝	ān	1	an
100	鞌	ān	1	an
101	鞍	ān	1	an
102	盦	ān	1	an
103	闇	ān	1	an
104	馣	ān	1	an
105	鮟	ān	1	an
106	盫	ān	1	an
107	鵪	ān	1	an
108	韽	ān	1	an
109	鶕	ān	1	an
110	啽	ān	1	an
111	厰	ān	1	an
112	鴳	ān	1	an
113	諳	ān	1	an
114	玵	án	2	an
115	雸	án	2	an
116	儑	án	2	an
117	垵	ǎn	3	an
118	俺	ǎn	3	an
119	唵	ǎn	3	an
120	埯	ǎn	3	an
121	铵	ǎn	3	an
122	隌	ǎn	3	an
123	揞	ǎn	3	an
124	晻	ǎn	3	an
125	罯	ǎn	3	an
126	銨	ǎn	3	an
127	碪	ǎn	3	an
128	犴	àn	4	an
129	岸	àn	4	an
130	按	àn	4	an
131	洝	àn	4	an
132	荌	àn	4	an
133	案	àn	4	an
134	胺	àn	4	an
135	豻	àn	4	an
136	堓	àn	4	an
137	婩	àn	4	an
138	貋	àn	4	an
139	錌	àn	4	an
140	黯	àn	4	an
141	頇	àn	4	an
142	屽	àn	4	an
143	垾	àn	4	an
144	遃	àn	4	an
145	暗	àn	4	an
146	肮	ānɡ	1	ang
147	骯	ānɡ	1	ang
148	岇	ánɡ	2	ang
149	昂	ánɡ	2	ang
150	昻	ánɡ	2	ang
151	卬	ánɡ	2	ang
152	枊	ànɡ	4	ang
153	盎	ànɡ	4	ang
154	醠	ànɡ	4	ang
155	凹	āo	1	ao
156	垇	āo	1	ao
157	柪	āo	1	ao
158	軪	āo	1	ao
159	爊	āo	1	ao
160	熝	āo	1	ao
161	眑	āo	1	ao
162	泑	āo	1	ao
163	梎	āo	1	ao
164	敖	áo	2	ao
165	厫	áo	2	ao
166	隞	áo	2	ao
167	嗷	áo	2	ao
168	嗸	áo	2	ao
169	嶅	áo	2	ao
170	廒	áo	2	ao
171	滶	áo	2	ao
172	獒	áo	2	ao
173	獓	áo	2	ao
174	遨	áo	2	ao
